Country,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,-5.905,-2.579,-2.08,-1.69,-2.384,-2.583,-3.097,-3.158,-12.376
Uruguay,-0.115,0.421,-0.502,0.247,-0.239,-0.123,0.558,-0.498,-2.109
Uzbekistan,5.797,2.037,1.781,-0.403,0.556,0.905,1.561,-0.458,-3.371
Vanuatu,-1.031,0.529,2.203,-8.119,0.33,-0.768,7.169,3.688,-1.141
Venezuela,-6.545,-7.485,-7.482,-6.822,-7.672,-13.098,-30.275,-9.982,-4.926
Vietnam,-4.483,-4.755,-3.665,-3.403,-1.625,-0.411,0.502,1.004,-1.553
West Bank and Gaza,,,,,,,,,
Yemen,-0.873,-1.455,1.506,-2.57,-3.158,-4.671,-7.775,-5.656,-2.756
Zambia,-1.509,-4.733,-3.577,-6.69,-2.244,-3.509,-3.547,-2.497,-7.834
Zimbabwe,0.257,-0.715,-0.412,-0.917,-6.002,-9.663,-4.433,-0.617,1.026
